Start Time,End Time,In,Out
Unknown,6/28/2026 7:00 AM,36,Unknown
6/28/2026 7:00 AM,6/28/2026 7:30 AM,0,2
6/28/2026 7:30 AM,6/28/2026 8:00 AM,0,0
6/28/2026 8:00 AM,6/28/2026 8:30 AM,0,3
6/28/2026 8:30 AM,6/28/2026 9:00 AM,1,4
6/28/2026 9:00 AM,6/28/2026 9:30 AM,1,2
6/28/2026 9:30 AM,6/28/2026 10:00 AM,1,0
6/28/2026 10:00 AM,6/28/2026 10:30 AM,2,4
6/28/2026 10:30 AM,6/28/2026 11:00 AM,4,1
6/28/2026 11:00 AM,6/28/2026 11:30 AM,5,5
6/28/2026 11:30 AM,6/28/2026 12:00 PM,4,6
6/28/2026 12:00 PM,6/28/2026 12:30 PM,2,1
6/28/2026 12:30 PM,6/28/2026 1:00 PM,0,0
6/28/2026 1:00 PM,6/28/2026 1:30 PM,0,0
6/28/2026 1:30 PM,6/28/2026 2:00 PM,1,4
6/28/2026 2:00 PM,6/28/2026 2:30 PM,1,1
6/28/2026 2:30 PM,6/28/2026 3:00 PM,1,2
6/28/2026 3:00 PM,6/28/2026 3:30 PM,3,3
6/28/2026 3:30 PM,6/28/2026 4:00 PM,0,0
6/28/2026 4:00 PM,6/28/2026 4:30 PM,34,7
6/28/2026 4:30 PM,6/28/2026 5:00 PM,16,9
