QR Number,Timestamp,Parked?,# People in Car,Where did They Go?
69,6/26/2026 8:04 PM,TRUE,2,
23,6/26/2026 17:18:40,TRUE,3,Jordan Pond
37,6/26/2026 5:36 PM,TRUE,2,
46,6/26/2026 5:36 PM,TRUE,2,Jordan Pond
39,6/26/2026 5:38 PM,TRUE,2,
52,6/26/2026 5:45 PM,TRUE,2,
11,6/26/2026 5:45 PM,TRUE,2,
55,6/26/2026 5:47 PM,TRUE,2,Jordan Pond
47,6/26/2026 5:52 PM,TRUE,3,Jordan Pond
49,6/26/2026 5:56 PM,TRUE,4,
53,6/26/2026 5:56 PM,TRUE,3,
56,6/26/2026 5:59 PM,TRUE,2,
51,6/26/2026 7:45 PM,TRUE,2,"Jordan Pond House, Jordan Pond"
69,6/26/2026 8:04 PM,TRUE,2,Jordan Pond
65,6/26/2026 6:02 PM,TRUE,1,
38,6/26/2026 6:03 PM,TRUE,2,Jordan Pond House
12,6/26/2026 6:03 PM,TRUE,2,"Other Walking Trails, Jordan Pond"
3,6/26/2026 6:08 PM,TRUE,2,
50,6/26/2026 6:09 PM,TRUE,3,Jordan Pond
18,6/26/2026 6:10 PM,TRUE,2,Jordan Pond
57,6/26/2026 6:12 PM,TRUE,4,
54,6/26/2026 6:14 PM,TRUE,4,
64,6/26/2026 6:18 PM,TRUE,3,Jordan Pond
20,6/26/2026 6:20 PM,TRUE,3,Jordan Pond
25,6/26/2026 6:20 PM,TRUE,3,Jordan Pond
71,6/26/2026 6:31 PM,TRUE,3,
27,6/26/2026 6:35 PM,TRUE,2,Jordan Pond
10,6/26/2026 6:36 PM,TRUE,1,Jordan Pond
9,6/26/2026 6:37 PM,TRUE,2,Jordan Pond
28,6/26/2026 6:38 PM,TRUE,2,Jordan Pond
45,6/26/2026 6:39 PM,TRUE,2,"Jordan Pond House, Jordan Pond"
60,6/26/2026 6:42 PM,TRUE,2,
30,6/26/2026 6:43 PM,TRUE,3,
34,6/26/2026 6:45 PM,TRUE,2,
24,6/26/2026 6:49 PM,TRUE,3,
48,6/26/2026 6:50 PM,TRUE,2,Jordan Pond
72,6/26/2026 6:52 PM,TRUE,2,
40,6/26/2026 6:53 PM,TRUE,2,Jordan Pond
63,6/26/2026 6:54 PM,TRUE,2,Jordan Pond
75,6/26/2026 6:54 PM,TRUE,2,Jordan Pond
68,6/26/2026 6:55 PM,TRUE,2,Jordan Pond
15,6/26/2026 4:15 PM,TRUE,1,
13,6/26/2026 4:26 PM,TRUE,2,Jordan Pond
14,6/26/2026 4:27 PM,TRUE,4,Jordan Pond
17,6/26/2026 4:29 PM,TRUE,2,Jordan Pond House
8,6/26/2026 4:31 PM,TRUE,5,Jordan Pond
2,6/26/2026 4:34 PM,TRUE,4,Jordan Pond House
6,6/26/2026 4:35 PM,TRUE,2,Jordan Pond
29,6/26/2026 4:35 PM,FALSE,2,
4,6/26/2026 4:42 PM,TRUE,2,Jordan Pond
21,6/26/2026 4:46 PM,TRUE,5,
7,6/26/2026 4:52 PM,TRUE,2,Jordan Pond
33,6/26/2026 4:57 PM,TRUE,4,
36,6/26/2026 7:06 PM,TRUE,2,"Jordan Pond House, Jordan Pond"
44,6/26/2026 7:06 PM,TRUE,2,Jordan Pond
42,6/26/2026 7:13 PM,TRUE,2,"Jordan Pond House, Jordan Pond"
59,6/26/2026 7:19 PM,TRUE,3,Jordan Pond
58,6/26/2026 7:22 PM,TRUE,2,Jordan Pond
32,6/26/2026 7:25 PM,TRUE,3,"Jordan Pond House, Jordan Pond"
77,6/26/2026 7:34 PM,TRUE,2,Jordan Pond
73,6/26/2026 7:34 PM,TRUE,4,Jordan Pond House
70,6/26/2026 7:35 PM,TRUE,2,Jordan Pond House
31,6/26/2026 7:37 PM,TRUE,1,"Other Walking Trails, Jordan Pond"
1,6/26/2026 7:45 PM,TRUE,2,"Jordan Pond House, Jordan Pond"
51,6/26/2026 7:45 PM,TRUE,2,Jordan Pond
62,6/26/2026 7:46 PM,TRUE,3,Jordan Pond
19,6/26/2026 7:47 PM,TRUE,2,"Jordan Pond House, Jordan Pond"
66,6/26/2026 7:48 PM,TRUE,2,Jordan Pond
41,6/26/2026 7:57 PM,TRUE,2,"Jordan Pond House, Jordan Pond"
67,6/26/2026 7:58 PM,TRUE,2,Jordan Pond
