time,total,sunny,rain,on_off_rain,cloudy,thunderstorm,monday,tuesday,wednesday,thursday,friday,saturday,sunday
06:00:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:01:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:02:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:03:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:04:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:05:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:06:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:07:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:08:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:09:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:10:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:11:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:12:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:13:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:14:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:15:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:16:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:17:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:18:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:19:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:20:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:21:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:22:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:23:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:24:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:25:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:26:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:27:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:28:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:29:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:30:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:31:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:32:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:33:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:34:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:35:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:36:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:37:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:38:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:39:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:40:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:41:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:42:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:43:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:44:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:45:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:46:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:47:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:48:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:49:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:50:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:51:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:52:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:53:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:54:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:55:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:56:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:57:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:58:00,5,2,0,2,1,0,0,0,3,0,1,1,0
06:59:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:00:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:01:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:02:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:03:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:04:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:05:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:06:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:07:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:08:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:09:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:10:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:11:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:12:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:13:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:14:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:15:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:16:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:17:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:18:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:19:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:20:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:21:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:22:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:23:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:24:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:25:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:26:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:27:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:28:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:29:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:30:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:31:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:32:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:33:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:34:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:35:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:36:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:37:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:38:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:39:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:40:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:41:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:42:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:43:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:44:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:45:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:46:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:47:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:48:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:49:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:50:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:51:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:52:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:53:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:54:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:55:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:56:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:57:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:58:00,5,2,0,2,1,0,0,0,3,0,1,1,0
07:59:00,5,2,0,2,1,0,0,0,3,0,1,1,0
08:00:00,7,3,0,2,2,0,0,0,3,0,1,2,1
08:01:00,7,3,0,2,2,0,0,0,3,0,1,2,1
08:02:00,7,3,0,2,2,0,0,0,3,0,1,2,1
08:03:00,7,3,0,2,2,0,0,0,3,0,1,2,1
08:04:00,7,3,0,2,2,0,0,0,3,0,1,2,1
08:05:00,7,3,0,2,2,0,0,0,3,0,1,2,1
08:06:00,7,3,0,2,2,0,0,0,3,0,1,2,1
08:07:00,7,3,0,2,2,0,0,0,3,0,1,2,1
08:08:00,7,3,0,2,2,0,0,0,3,0,1,2,1
08:09:00,7,3,0,2,2,0,0,0,3,0,1,2,1
08:10:00,7,3,0,2,2,0,0,0,3,0,1,2,1
08:11:00,7,3,0,2,2,0,0,0,3,0,1,2,1
08:12:00,7,3,0,2,2,0,0,0,3,0,1,2,1
08:13:00,7,3,0,2,2,0,0,0,3,0,1,2,1
08:14:00,7,3,0,2,2,0,0,0,3,0,1,2,1
08:15:00,7,3,0,2,2,0,0,0,3,0,1,2,1
08:16:00,7,3,0,2,2,0,0,0,3,0,1,2,1
08:17:00,7,3,0,2,2,0,0,0,3,0,1,2,1
08:18:00,7,3,0,2,2,0,0,0,3,0,1,2,1
08:19:00,7,3,0,2,2,0,0,0,3,0,1,2,1
08:20:00,7,3,0,2,2,0,0,0,3,0,1,2,1
08:21:00,7,3,0,2,2,0,0,0,3,0,1,2,1
08:22:00,7,3,0,2,2,0,0,0,3,0,1,2,1
08:23:00,7,3,0,2,2,0,0,0,3,0,1,2,1
08:24:00,7,3,0,2,2,0,0,0,3,0,1,2,1
08:25:00,7,3,0,2,2,0,0,0,3,0,1,2,1
08:26:00,7,3,0,2,2,0,0,0,3,0,1,2,1
08:27:00,7,3,0,2,2,0,0,0,3,0,1,2,1
08:28:00,7,3,0,2,2,0,0,0,3,0,1,2,1
08:29:00,7,3,0,2,2,0,0,0,3,0,1,2,1
08:30:00,9,5,0,2,2,0,0,0,3,2,1,2,1
08:31:00,9,5,0,2,2,0,0,0,3,2,1,2,1
08:32:00,9,5,0,2,2,0,0,0,3,2,1,2,1
08:33:00,9,5,0,2,2,0,0,0,3,2,1,2,1
08:34:00,9,5,0,2,2,0,0,0,3,2,1,2,1
08:35:00,9,5,0,2,2,0,0,0,3,2,1,2,1
08:36:00,9,5,0,2,2,0,0,0,3,2,1,2,1
08:37:00,9,5,0,2,2,0,0,0,3,2,1,2,1
08:38:00,9,5,0,2,2,0,0,0,3,2,1,2,1
08:39:00,9,5,0,2,2,0,0,0,3,2,1,2,1
08:40:00,9,5,0,2,2,0,0,0,3,2,1,2,1
08:41:00,9,5,0,2,2,0,0,0,3,2,1,2,1
08:42:00,9,5,0,2,2,0,0,0,3,2,1,2,1
08:43:00,9,5,0,2,2,0,0,0,3,2,1,2,1
08:44:00,9,5,0,2,2,0,0,0,3,2,1,2,1
08:45:00,9,5,0,2,2,0,0,0,3,2,1,2,1
08:46:00,9,5,0,2,2,0,0,0,3,2,1,2,1
08:47:00,9,5,0,2,2,0,0,0,3,2,1,2,1
08:48:00,9,5,0,2,2,0,0,0,3,2,1,2,1
08:49:00,9,5,0,2,2,0,0,0,3,2,1,2,1
08:50:00,9,5,0,2,2,0,0,0,3,2,1,2,1
08:51:00,9,5,0,2,2,0,0,0,3,2,1,2,1
08:52:00,9,5,0,2,2,0,0,0,3,2,1,2,1
08:53:00,9,5,0,2,2,0,0,0,3,2,1,2,1
08:54:00,9,5,0,2,2,0,0,0,3,2,1,2,1
08:55:00,9,5,0,2,2,0,0,0,3,2,1,2,1
08:56:00,9,5,0,2,2,0,0,0,3,2,1,2,1
08:57:00,9,5,0,2,2,0,0,0,3,2,1,2,1
08:58:00,9,5,0,2,2,0,0,0,3,2,1,2,1
08:59:00,9,5,0,2,2,0,0,0,3,2,1,2,1
09:00:00,10,5,0,2,3,0,0,1,3,2,1,2,1
09:01:00,10,5,0,2,3,0,0,1,3,2,1,2,1
09:02:00,10,5,0,2,3,0,0,1,3,2,1,2,1
09:03:00,10,5,0,2,3,0,0,1,3,2,1,2,1
09:04:00,10,5,0,2,3,0,0,1,3,2,1,2,1
09:05:00,10,5,0,2,3,0,0,1,3,2,1,2,1
