in_time,out_time,duration,parked,people_in_car,visited_jordan_pond,visited_jordan_pond_house,visited_other_trails,weather
2026-06-17T10:20:45,2026-06-17T10:46:29,25,false,4,false,false,false,Sunny
2026-06-17T11:40:57,2026-06-17T11:52:17,11,false,3,false,false,false,Sunny
2026-06-17T12:02:43,2026-06-17T14:05:45,123,true,2,false,false,false,Sunny
2026-06-17T06:23:00,2026-06-17T07:32:00,69,true,1,false,false,false,Sunny
2026-06-17T10:34:19,2026-06-17T10:37:44,3,false,2,false,false,false,Sunny
2026-06-17T10:40:31,2026-06-17T15:19:25,278,true,2,false,false,false,Sunny
2026-06-17T06:27:09,2026-06-17T08:33:00,125,true,5,false,false,false,Sunny
2026-06-17T09:59:05,2026-06-17T10:05:10,6,false,4,false,false,false,Sunny
2026-06-17T10:59:13,2026-06-17T13:41:49,162,true,2,false,false,false,Sunny
2026-06-17T14:26:33,2026-06-17T14:31:22,4,false,2,false,false,false,Sunny
2026-06-17T06:32:32,2026-06-17T10:05:17,212,false,2,false,false,false,Sunny
2026-06-17T10:59:54,2026-06-17T11:17:12,17,false,2,false,false,false,Sunny
2026-06-17T11:54:23,2026-06-17T13:15:23,81,true,2,false,false,false,Sunny
2026-06-17T06:27:15,2026-06-17T08:33:00,125,true,3,false,false,false,Sunny
2026-06-17T10:40:47,2026-06-17T14:11:54,211,true,5,false,false,false,Sunny
2026-06-17T10:34:29,2026-06-17T13:51:09,196,true,4,false,false,false,Sunny
2026-06-17T06:34:06,2026-06-17T07:37:00,62,true,2,false,false,false,Sunny
2026-06-17T10:34:07,2026-06-17T10:46:54,12,false,1,false,false,false,Sunny
2026-06-17T11:40:04,2026-06-17T11:51:53,11,false,2,false,false,false,Sunny
2026-06-17T06:41:54,2026-06-17T07:38:00,56,true,2,false,false,false,Sunny
2026-06-17T10:33:45,2026-06-17T10:46:03,12,false,1,false,false,false,Sunny
2026-06-17T11:42:12,2026-06-17T11:52:32,10,false,2,false,false,false,Sunny
2026-06-17T12:02:20,2026-06-17T12:05:08,2,false,2,false,false,false,Sunny
2026-06-17T12:18:05,2026-06-17T12:32:23,14,false,2,false,false,false,Sunny
2026-06-17T12:37:38,2026-06-17T15:39:14,181,true,2,false,false,false,Sunny
2026-06-17T06:44:05,2026-06-17T09:17:00,152,true,2,false,false,false,Sunny
2026-06-17T09:18:59,2026-06-17T09:27:00,8,false,2,false,false,false,Sunny
2026-06-17T10:25:58,2026-06-17T15:38:47,312,true,4,false,false,false,Sunny
2026-06-17T06:39:34,2026-06-17T12:26:37,347,true,1,false,false,false,Sunny
2026-06-17T13:28:13,2026-06-17T13:34:01,5,false,3,false,false,false,Sunny
2026-06-17T13:51:08,2026-06-17T13:56:57,5,false,2,false,false,false,Sunny
2026-06-17T14:05:07,2026-06-17T14:18:30,13,false,2,false,false,false,Sunny
2026-06-17T06:51:02,2026-06-17T08:41:00,109,true,2,false,false,false,Sunny
2026-06-17T09:15:18,2026-06-17T11:29:55,134,true,2,false,false,false,Sunny
2026-06-17T11:49:41,2026-06-17T11:56:21,6,true,3,false,false,false,Sunny
2026-06-17T10:34:44,2026-06-17T10:50:30,15,false,2,false,false,false,Sunny
2026-06-17T06:53:43,2026-06-17T09:54:00,180,true,2,false,false,false,Sunny
2026-06-17T10:49:47,2026-06-17T12:49:42,119,true,2,false,false,false,Sunny
2026-06-17T12:59:01,2026-06-17T13:11:46,12,true,1,false,false,false,Sunny
